Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Maryland Energy Administration/Data Center Energy Efficiency Pilot Program,Kaiser Permanente DCEEG Grant,20904,2017,200000,Development of EE Program initiatives for Data Centers to encourage business development in Maryland,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture - Conservation Grants,Holloway Brothers,21811 - 2220,2015,72910.5,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,"Southern Maryland Vocational Industries, Inc.",20747,2013,50000,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Family Crisis Resource Center, Inc.",21502,2018,169950.29,Domestic Violence Prevention,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Wright Constable & Skeen,21201,2013,129976.8,Casselman Basin - Cunningham Swamp Acq,Grant,1,06/30/2013 12:00:00 AM
Department Of Business and Economic Development/Office of Business Development,TRI-CO COUNCIL FOR WESTERN MD,21532,2013,156900,Regional Economic Development Grant,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Chesapeake Bay Trust,21401,2017,362885,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2017,4167,Reimbursable funds from DHMH for SARC - Rape Crisis Intervention,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Family Crisis Center of Baltimore County, Inc.",21222,2011,37263.56,Victims of Domestic Violence Interventions,Grant,1,06/30/2011 12:00:00 AM
"Department of Labor, Licensing and Regulation/Division of Workforce Development and Adult Learning - Aid to Education",Baltimore Reads Inc,21202,2013,197296.7,"The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.",Grant,1,06/30/2013 12:00:00 AM
State Department of Education/Div Of Career Technology & Adult Learnin,Us Hispanic Youth Entrepreneur & Educ,21230,2009,100000,Career Technology,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABI,MARYLAND FAMILY NETWORK,212024364,2014,163171,IDEA-PART B & C,Grant,1,06/30/2014 12:00:00 AM
OPERATING GRANTS-IN-AID,Wilmington Area Planning Council,19711-0000,2018,93597.37,MPO Requirements,Grant,1,06/30/2018 12:00:00 AM
Department of Commerce/MD State Arts Council,NATL COUNCIL FOR THE TRADITIONAL ARTS,20910,2016,113836,MD State Arts Council - Folklife Grant,Grant,1,06/30/2016 12:00:00 AM
Electric Vehicle Supply Equipment (EVSE) Rebate Program,Electric Vehicle Institute,21239,2018,405000,Rebates for the purchase and installation of Electric Vehicle Supply Equipment (EVSEs) in MD,Grant,1,06/30/2018 12:00:00 AM
Department of Human Resources - Office of Grants Management,Food & Friends Inc,20011,2015,840625,Funds are used to provide nutritional  services to persons living with HIV/AIDS.,Grant,1,06/30/2015 12:00:00 AM
Judiciary/Department of Family Administration,Southern Maryland Center for Family Advocacy,20636,2009,100914,Legal services for victims of domestic violence,Grant,1,06/30/2009 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Wright Constable & Skeen,21201,2012,123947.57,Frazee Res Mgt - Kasecamp Rd Prop Acq,Grant,1,06/30/2012 12:00:00 AM
Judiciary/Department of Family Administration,CASA of Montgomery County,20851,2009,171010,Advocacy for children in foster care,Grant,1,06/30/2009 12:00:00 AM
Military Department/URBAN AREA SECURITY IMITATIVE FEDERAL GRANT,TEMPLE OHEB SHALOM,21208,2009,70950,Anti-Terrorism,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Health/Prevention & Health Promotion Administration,Johns Hopkins University,21287,2017,479708,Human Immunodeficiency Virus (HIV),Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/NUTRIENT MANAGEMENT,H WATSON POWELL SR,21841-2232,2014,80643.4,"Cover Crop Program Grant, Nutrient Mgt Grant",Grant,1,06/30/2014 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / LIFESTYLES OF MD,20646-4319,2018,96000,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Community Initiatives,Playworks Education Energized,94607,2018,143187.58,AmeriCorps State Service funding,Grant,1,06/30/2018 12:00:00 AM
Rural Maryland Council,TRI-CO COUNCIL FOR WESTERN MD,21532,2018,211133,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Center for Watershed Protection,21043,2014,51605.92,Great Mills High School Stormwater Pond Retrofit,Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Young Audiences of Maryland,21202,2009,167784.34,grant funding for organizations and Community Arts Development programs.,Grant,1,06/30/2009 12:00:00 AM
"State Department of Education/Office of the Secretary - General Administration [Grant title - ""Supporting Ex-Offenders in Employment, Training, and Transitional Services"" (SEETTS)]","Goodwill Industries of the Chesapeake, Inc.",21202,2010,250000,"Career and skills assessments, cognitive-based employment readiness classes, placement and retention",Grant,1,06/30/2010 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Anne Arundel County Mental Health Agency, Inc..",21401,2018,79898,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2018 12:00:00 AM
"Department of  Labor, Licensing and Regulation/Adult Education  and Family Literacy Act (AEFLA)",Literacy Council of Montgomery County,20850,2017,124109,"The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.",Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/MANURE TRANSPORT,PERDUE AGRIRECYCLE LLC,19973,2014,333052.99,Manure Transport Program,Grant,1,06/30/2014 12:00:00 AM
Judiciary/Mediation & Conflict Resolution Office,"Conflict Resolution Center of Montgomery County, Inc.",20814,2013,68148,Community mediation performance-based funding at Level 4.,Grant,1,06/30/2013 12:00:00 AM
Governor's Office for Children/Children's Cabinet Interagency Fund,"Montgomery County Collaboration Council for Children, Youth and Families, Inc.",20850,2017,1088701,Local Management Board support,Grant,1,06/30/2017 12:00:00 AM
Department of Aging/State MD Access Point (MAP),"RTZ Associates, Inc.",94612,2013,84777.96,MAP Website Design,Grant,1,06/30/2013 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Washington Adventist University,20912-7796,2013,962962,Sellinger Formula Aid,Grant,1,06/30/2013 12:00:00 AM
Department of Housing and Community Development/Rehab Energy Assistance - Regional Greenhouse Gases Initiative,C & O Conservation Inc,21795,2011,25428.04,weatherization activities/products,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development - OAG Counseling,Southeast Development Inc,21231,2015,107500,OAG Legal Asst,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,BALTIMORE MUSEUM OF ART,21218-3898,2011,862228,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Maryland State Department of Education/DIVISION OF REHABILITATION SERVICES - HEADQUARTERS,BAY AREA CENTER FOR INDEPENDENT LIVING INC,21802,2017,241533,Comprehensive Services - Independent Living,Grant,1,06/30/2017 12:00:00 AM
MD STATE ARTS COUNCIL,SALISBURY WICOMICO ARTS COUNCIL,21803-0884,2018,124218,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2018 12:00:00 AM
MDP- Heritage Areas Authority,"Baltimore Office of Promotion & The Arts, Inc.",21202,2018,67500,FY2016 Maryland Heritage Areas Authority (MHAA) (Capital) - To complete Phase 2A of the overall restoration of the historic Bromo Seltzer Arts Tower.,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development - Maryland Tourism Board,Star-Spangled 200 INC,21202,2015,2172512,MD WAR OF 1812 BICENTENNIAL COMMISSION GRANT,Grant,1,06/30/2015 12:00:00 AM
Resource Conservation Grants,MARK R JONES,21629,2018,156106,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Cover crop,GOOSE HAVEN ENTERPRISES LLC,21620,2013,134500,Cover Crop Grant-Commodity,Grant,1,06/30/2013 12:00:00 AM
Combined Heat and Power (CHP) Resilience Grant Program,UNIVERSITY OF MARYLAND MEDICAL SYSTEM CAPITAL REGION MEDICAL CENTER,20774,2018,500000,Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"House of Ruth Maryland, Inc.",21218,2015,28444.12,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"CASA de Maryland, Inc.",20783,2011,53929.89,Community-Based Crime Prevention Project,Grant,1,06/30/2011 12:00:00 AM
Department of Human Resources/Office of Grants Management,Franklin Square Hospital,21237,2010,89372,Funds are used to provide services to victims of crime,Grant,1,06/30/2010 12:00:00 AM
MD STATE ARTS COUNCIL,Arts and Humanities Council of Montgomery County,20910,2018,175791,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,IMAGINATION STAGE INC,20814,2011,289617,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development/Housing Counseling - State Funds,Pro Bono Resource Ctr of MD Inc,21201,2012,197500,foreclosure/housing counseling activities,Grant,1,06/30/2012 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Maryland Coalition Against Sexual Assault, Inc. (MCASA)",20907,2017,24095,Legal Services for Crime Victims,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"PHIPPS, MARGARET",20736,2009,15000,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Governor's Office of Crime Control and Prevention,Office of the State's Attorneys' Coordinator,21043,2018,224627,State's Attorney's Coordinating Council,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Aging/State Ombudsman,Washington County Commission on Aging,21740,2017,42797,State Ombudsman,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/Division of Early Childhood Development,MARYLAND FAMILY NETWORK,21202-4364,2012,213187,BLOCK GRANT SCHOOL AGE RESOURCE AND REF,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/S.C. District Operations,CECIL SOIL CONSERVATION DISTRICT,21921,2013,125130,Soil Conservation District Operations,Grant,1,06/30/2013 12:00:00 AM
"Military Department /Maryland Military Dept, MEMA",Leitersburg Volunteer Fire Co.,21742,2016,179000,Volunteer Company Assistance Fund,Loan,1,06/30/2016 12:00:00 AM
Maryland Department of Health/Prevention and Health Promotion Administration,Sinai Hospital,21215,2017,250000,Chronic Disease Management,Grant,1,06/30/2017 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,"Caroline Center, Inc.",21660,2013,60000,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Data Center Energy Efficiency (EE) Pilot,AiNET,20705,2018,200000,Grants for development of Energy Efficiency Program Initiatives for Data Centers to encourage business development in Maryland,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,RAINBOW ADULT DAY HEALTH CARE OF MILLBROOK LLC,21215,2013,3136,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Education/Food Services Program,KIDDIE CASTLE CHILD DEVELOPMENT CENTER INC,21215,2012,3948.24,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,Nancy Wolfe,20621,2009,191505.54,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/Food Services Program,LEVINDALE HEBREW GERIATRIC CTR & HOSPITAL INC,21215-5202,2012,2904.78,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/Food Services Program,TEAM 2 INC DBA PHOENIX ADULT MEDICAL CENTER,21215,2012,6580.38,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Human Resources - Family Investment Administration,Maryland Hunger Solutions,21211,2015,112161.14,"Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.",Grant,1,06/30/2015 12:00:00 AM
Maryland State Department of Education/STUDENTS WITH DISABILITIES,DEVEREUX FOUNDATION-GLENHOLME,6793,2011,71905,STUDENTS W/DISAB.-NONPUBLIC PLACEMENTS,Grant,1,06/30/2011 12:00:00 AM
Commercial and Industrial (C&I) Deep Energy Retrofit Program,"Ambulatory Care Associates, LP",20850,2018,175000,Grants for implement energy conservation measures,Grant,1,06/30/2018 12:00:00 AM
Department of Commerce - Maryland Technology Commercialization Fund,RedShred LLC,21228,2015,100000,Commercialization Investment,Loan,1,06/30/2015 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,YWCA of Annapolis and Anne Arundel County,21012,2015,9666.49,Reimbursable funds from DHMH for SARC - Community Sexual Assault Prevention and Awareness,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/Food Services Program,DAYSPRING PROGRAMS INC,21213,2012,6678.36,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/Low-to-Moderate Income (LMI) Community Grants,Community Action Council of Howard County (Howard) FY16,21046,2016,100000,The low and moderate income sector,Grant,1,06/30/2016 12:00:00 AM
Department of Transportation/Highway Safety Operating,CHESAPEAKE REGION SAFETY COUNCIL,21244,2010,78490,Highway safety /occupant protection,Grant,1,06/30/2010 12:00:00 AM
Department of Health and Mental Hygiene/Family Health Services & Primary Care,"One Day At A Time, Inc.",20748,2012,227197,Abstinence Education / Teen Pregnancy Prevention,Grant,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development/Maryland Office of Tourism Development,Maryland Tourism Council,21401,2009,60000,Maryland Office of Tourism Programmatic Grant,Grant,1,06/30/2009 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,PACT,21244,2013,399752,Childholld Home Visiting / Medical Day Care,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Agriculture/Resource Conservation Grants,Hutchinson Brothers,21625,2019,59055.5,Cover Crop,Grant,1,06/30/2019 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Domestic Violence Center of Howard County, Inc.",21045-3296,2011,2504.6,Clinical Support Services,Grant,1,06/30/2011 12:00:00 AM
Resource Conservation Grants,COPASETIC FARMS,21640,2018,93690.87,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
