Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2019-20,Anne Arundel,GLEN BURNIE SENIOR,417,118,28%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,MARLEY SPECIAL GLEN SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,MARY E. MOSS ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,MARY MOSS AT ADAMS ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,MARY MOSS AT ADAMS ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,MARY MOSS AT ADAMS ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,MARY MOSS AT ADAMS ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,MARY MOSS AT ADAMS ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,MEADE EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,MEADE EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,MEADE EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,MEADE EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2007-08,Anne Arundel,MEADE SENIOR HIGH,338,150,44%,84,56%,66,44%," $7,635 "," $9,159 "," $10,389 "," $7,438 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,MEADE SENIOR HIGH,349,129,37%,56,43%,73,57%," $7,163 "," $7,246 "," $7,163 "," $7,484 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,MEADE SENIOR HIGH,425,194,46%,103,53%,91,47%," $6,956 "," $7,004 "," $8,925 "," $5,815 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,MEADE SENIOR HIGH,451,200,44%,100,50%,100,50%," $7,114 "," $8,203 "," $10,041 "," $7,189 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,MEADE SENIOR HIGH,498,227,46%,133,59%,94,41%," $8,265 "," $10,071 "," $11,459 "," $8,657 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,MEADE SENIOR HIGH,448,203,45%,128,63%,75,37%," $8,300 "," $9,116 "," $11,930 "," $7,590 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,MEADE SENIOR HIGH,473,221,47%,122,55%,99,45%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,MEADE SENIOR HIGH,439,185,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,MEADE SENIOR HIGH,434,188,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,MEADE SENIOR HIGH,449,198,44%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,MEADE SENIOR HIGH,381,169,44%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,MEADE SENIOR HIGH,446,205,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,MEADE SENIOR HIGH,419,164,39%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,NORTH COUNTY HIGH,420,152,36%,93,61%,59,39%," $7,686 "," $8,485 "," $11,360 "," $6,238 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,NORTH COUNTY HIGH,380,141,37%,73,52%,68,48%," $7,640 "," $9,180 "," $12,772 "," $7,203 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,NORTH COUNTY HIGH,390,134,34%,59,44%,75,56%," $7,785 "," $8,045 "," $8,480 "," $7,685 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,NORTH COUNTY HIGH,367,117,32%,59,50%,58,50%," $7,758 "," $9,266 "," $10,869 "," $7,618 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,NORTH COUNTY HIGH,432,170,39%,95,56%,75,44%," $8,916 "," $10,792 "," $12,886 "," $7,746 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,NORTH COUNTY HIGH,436,144,33%,82,57%,62,43%," $9,079 "," $9,776 "," $11,633 "," $8,976 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,NORTH COUNTY HIGH,409,156,38%,75,48%,81,52%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,NORTH COUNTY HIGH,450,141,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,NORTH COUNTY HIGH,422,162,38%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,NORTH COUNTY HIGH,430,176,41%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,NORTH COUNTY HIGH,482,170,35%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,NORTH COUNTY HIGH,474,196,41%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,NORTH COUNTY HIGH,504,170,34%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,NORTHEAST SR HIGH,335,138,41%,79,57%,59,43%," $8,442 "," $8,950 "," $9,496 "," $7,918 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,NORTHEAST SR HIGH,284,125,44%,77,62%,48,38%," $7,685 "," $8,188 "," $10,480 "," $5,692 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,NORTHEAST SR HIGH,328,129,39%,84,65%,45,35%," $8,410 "," $9,004 "," $10,371 "," $8,120 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,NORTHEAST SR HIGH,291,106,36%,58,55%,48,45%," $9,164 "," $10,042 "," $10,874 "," $8,043 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,NORTHEAST SR HIGH,284,110,39%,62,56%,48,44%," $9,602 "," $9,576 "," $12,082 "," $7,704 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,NORTHEAST SR HIGH,288,98,34%,66,67%,32,33%," $10,063 "," $11,604 "," $13,560 "," $10,914 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,NORTHEAST SR HIGH,315,122,39%,75,62%,47,39%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,NORTHEAST SR HIGH,306,95,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,NORTHEAST SR HIGH,316,127,40%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,NORTHEAST SR HIGH,305,123,40%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,NORTHEAST SR HIGH,353,153,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,NORTHEAST SR HIGH,303,135,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,NORTHEAST SR HIGH,328,105,32%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,OLD MILL SENIOR HIGH,597,298,50%,176,59%,122,41%," $8,122 "," $8,887 "," $10,592 "," $7,307 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,OLD MILL SENIOR HIGH,557,312,56%,189,61%,123,39%," $8,162 "," $8,428 "," $10,254 "," $7,070 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,OLD MILL SENIOR HIGH,544,280,52%,156,56%,124,44%," $7,731 "," $8,666 "," $9,340 "," $7,326 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,OLD MILL SENIOR HIGH,571,290,51%,177,61%,113,39%," $8,702 "," $10,479 "," $12,285 "," $8,100 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,OLD MILL SENIOR HIGH,508,258,51%,153,59%,105,41%," $9,060 "," $10,151 "," $11,932 "," $7,992 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,OLD MILL SENIOR HIGH,500,214,43%,144,67%,70,33%," $8,842 "," $9,463 "," $10,095 "," $9,145 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,OLD MILL SENIOR HIGH,491,216,44%,137,63%,79,37%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,OLD MILL SENIOR HIGH,499,218,44%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,OLD MILL SENIOR HIGH,498,244,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,OLD MILL SENIOR HIGH,514,245,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,OLD MILL SENIOR HIGH,508,238,47%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,OLD MILL SENIOR HIGH,502,241,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,OLD MILL SENIOR HIGH,524,239,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2013-14,Anne Arundel,PHOENIX ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,PHOENIX ACADEMY,45,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,PHOENIX ACADEMY,39,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,PHOENIX ACADEMY,43,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,PHOENIX ACADEMY,30,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,PHOENIX ACADEMY,37,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,PHOENIX ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,PHOENIX CENTER- ANNAPOLIS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,PHOENIX CENTER- ANNAPOLIS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,PHOENIX CENTER- ANNAPOLIS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,PHOENIX CENTER- ANNAPOLIS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Anne Arundel,PHOENIX CENTER- ANNAPOLIS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Anne Arundel,PHOENIX CENTER- ANNAPOLIS,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2007-08,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,RUTH PARKER EASON SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,SEVERNA PARK EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,SEVERNA PARK EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,SEVERNA PARK EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,SEVERNA PARK EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Anne Arundel,SEVERNA PARK EVENING HIGH,65,*,*,*,*,*,*," $7,660 ", * , * , * ," $8,114 ",,,,,,,,
2012-13,Anne Arundel,SEVERNA PARK EVENING HIGH,80,*,*,*,*,*,*," $7,612 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Anne Arundel,SEVERNA PARK EVENING HIGH,94,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,SEVERNA PARK EVENING HIGH,85,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,SEVERNA PARK EVENING HIGH,81,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,SEVERNA PARK EVENING HIGH,55,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,SEVERNA PARK EVENING HIGH,96,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,SEVERNA PARK EVENING HIGH,115,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,SEVERNA PARK EVENING HIGH,119,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,SEVERNA PARK SR HIGH,425,281,66%,216,77%,65,23%," $9,088 "," $10,412 "," $11,092 "," $7,036 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,SEVERNA PARK SR HIGH,417,298,72%,231,78%,67,23%," $9,352 "," $10,521 "," $10,966 "," $6,999 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,SEVERNA PARK SR HIGH,444,310,70%,250,81%,60,19%," $10,202 "," $10,204 "," $10,663 "," $7,436 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,SEVERNA PARK SR HIGH,452,321,71%,268,84%,53,17%," $11,320 "," $11,826 "," $12,537 "," $8,103 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,SEVERNA PARK SR HIGH,448,333,74%,260,78%,73,22%," $10,118 "," $10,950 "," $12,355 "," $8,468 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,SEVERNA PARK SR HIGH,474,334,71%,280,84%,54,16%," $10,953 "," $11,922 "," $13,054 "," $7,026 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,SEVERNA PARK SR HIGH,449,319,71%,266,83%,53,17%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,SEVERNA PARK SR HIGH,469,317,68%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,SEVERNA PARK SR HIGH,464,333,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,SEVERNA PARK SR HIGH,395,295,75%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,SEVERNA PARK SR HIGH,454,355,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,SEVERNA PARK SR HIGH,423,330,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,SEVERNA PARK SR HIGH,434,275,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,SOUTH RIVER EVENING HIGH,47,*,*,*,*,*,*," $8,044 ", * , * , * ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,SOUTH RIVER EVENING HIGH,46,*,*,*,*,*,*," $5,983 ", * , * , * ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,SOUTH RIVER EVENING HIGH,42,*,*,*,*,*,*," $5,980 ", * , * , * ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,SOUTH RIVER EVENING HIGH,40,*,*,*,*,*,*," $7,516 ", * , * , * ," $7,966 ",,,,,,,,
2007-08,Anne Arundel,SOUTH RIVER SENIOR,489,265,54%,173,65%,92,35%," $8,366 "," $9,020 "," $10,091 "," $6,394 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,SOUTH RIVER SENIOR,449,241,54%,166,69%,75,31%," $10,000 "," $10,597 "," $11,493 "," $8,177 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,SOUTH RIVER SENIOR,454,235,52%,156,66%,79,34%," $8,874 "," $10,003 "," $11,258 "," $7,959 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,SOUTH RIVER SENIOR,435,259,60%,190,73%,69,27%," $9,635 "," $10,050 "," $11,099 "," $7,603 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,SOUTH RIVER SENIOR,457,271,59%,193,71%,78,29%," $9,475 "," $10,669 "," $11,216 "," $9,298 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,SOUTH RIVER SENIOR,553,315,57%,253,80%,62,20%," $9,941 "," $10,846 "," $11,674 "," $8,252 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,SOUTH RIVER SENIOR,530,324,61%,251,78%,73,23%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,SOUTH RIVER SENIOR,533,300,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,SOUTH RIVER SENIOR,520,322,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,SOUTH RIVER SENIOR,508,330,65%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,SOUTH RIVER SENIOR,503,307,61%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,SOUTH RIVER SENIOR,506,340,67%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,SOUTH RIVER SENIOR,520,308,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,SOUTHERN SENIOR HIGH,289,147,51%,91,62%,56,38%," $8,033 "," $8,265 "," $9,764 "," $6,801 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,SOUTHERN SENIOR HIGH,269,130,48%,85,65%,45,35%," $7,898 "," $8,871 "," $10,272 "," $7,417 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,SOUTHERN SENIOR HIGH,246,116,47%,83,72%,33,28%," $8,740 "," $10,642 "," $11,729 "," $7,681 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,SOUTHERN SENIOR HIGH,255,110,43%,77,70%,33,30%," $8,902 "," $9,538 "," $9,969 "," $8,553 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,SOUTHERN SENIOR HIGH,277,134,48%,95,71%,39,29%," $9,889 "," $10,198 "," $10,494 "," $8,181 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,SOUTHERN SENIOR HIGH,251,113,45%,84,74%,29,26%," $9,158 "," $10,876 "," $11,682 "," $9,798 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,SOUTHERN SENIOR HIGH,261,127,49%,64,50%,63,50%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,SOUTHERN SENIOR HIGH,237,96,41%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,SOUTHERN SENIOR HIGH,245,132,54%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,SOUTHERN SENIOR HIGH,251,119,47%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,SOUTHERN SENIOR HIGH,247,135,55%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,SOUTHERN SENIOR HIGH,231,124,54%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,SOUTHERN SENIOR HIGH,238,95,40%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,93,40,43%,*,*,^^,^^," $6,719 "," $7,681 ", * ," $7,126 "," $7,537 ",,,,,,,,
2008-09,Baltimore City,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,53,23,43%,*,*,^^,^^," $6,621 "," $7,483 ", * ," $7,508 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,78,15,19%,*,*,^^,^^," $5,884 ", * , * , * ," $7,782 ",,,,,,,,
2010-11,Baltimore City,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,87,27,31%,*,*,^^,^^," $6,160 "," $6,916 ", * ," $6,630 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,76,17,22%,*,*,^^,^^," $7,018 "," $6,821 ", * , * ," $8,114 ",,,,,,,,
