call_number,date,location,district,neighborhood,zip_code
P223454261,2022-12-11,1100 N WOODYEAR ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221233550,2022-05-03,3900 PASCAL AV BALTIMORE MD,SD,Curtis Bay,21226
P221252499,2022-05-05,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222541425,2022-09-11,PRESBURY ST and N FULTON AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P222570955,2022-09-14,N GREENE ST and W SARATOGA ST BALTIMORE MD,CD,University Of Maryland,21201
P220292177,2022-01-29,CROSS STREET MARKET BALTIMORE MD,SD,Federal Hill,21230
P220292242,2022-01-29,1100 N CARROLLTON AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P222322634,2022-08-20,W BELVEDERE AV and CORDELIA AV BALTIMORE MD,NW,Langston Hughes,21215
P222323099,2022-08-20,2400 WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P222352769,2022-08-23,2900 E MONUMENT ST BALTIMORE MD,ED,Ellwood Park/Monument,21205
P221582656,2022-06-07,200 BLK N ROSE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P223474634,2022-12-13,1700 NORTHGATE RD BALTIMORE MD,NE,Hillen,21218
P223482257,2022-12-14,1500 BLK COLE ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221300216,2022-05-10,1500 EDMONDSON AV BALTIMORE MD,WD,Harlem Park,21223
P222590334,2022-09-16,2500 W FRANKLIN ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P222593407,2022-09-16,4500 ERDMAN AV BALTIMORE MD,NE,Orangeville Industrial Area,21213
P222601657,2022-09-17,KIRK AV and E 0TH ST BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P222614562,2022-09-18,2200 TUCKER LN BALTIMORE MD,SW,Wakefield,21207
P220341971,2022-02-03,1500 N CAROLINE ST BALTIMORE MD,ED,Oliver,21213
P222363913,2022-08-24,1600 W LOMBARD ST BALTIMORE MD,SD,Union Square,21223
P222371822,2022-08-25,500 EVERGREEN ST BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P222372333,2022-08-25,300 N PACA ST BALTIMORE MD,CD,Downtown,21201
P221590967,2022-06-08,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,CD,Upton,21217
P221594532,2022-06-08,2800 E NORTHERN PY BALTIMORE MD,NE,Westfield,21214
P221611545,2022-06-10,0 N BERNICE AV BALTIMORE MD,SW,Carroll-South Hilton,21229
P223523245,2022-12-18,2800 WALDORF AV BALTIMORE MD,NW,Lucille Park,21215
P221303150,2022-05-10,2500 LOYOLA SOUTHWAY BALTIMORE MD,ND,Greenspring,21215
P221303555,2022-05-10,4300 ORCHARD RIDGE BL BALTIMORE MD,NE,Orchard Ridge,21213
P221331896,2022-05-13,200 S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221340324,2022-05-14,2000 MCHENRY ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221340845,2022-05-14,700 E 25TH ST BALTIMORE MD,NE,East Baltimore Midway,21218
P222623018,2022-09-19,1100 W LOMBARD ST BALTIMORE MD,SD,Hollins Market,21223
P222623119,2022-09-19,N MILTON AV and E MONUMENT ST BALTIMORE MD,ED,Milton-Montford,21205
P222631345,2022-09-20,E FAIRMOUNT AV and N LAKEWOOD AV BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P222635156,2022-09-20,N CALHOUN ST and W SARATOGA ST BALTIMORE MD,WD,Franklin Square,21223
P222643161,2022-09-21,1100 ABBOTT CT BALTIMORE MD,ED,Oldtown,21202
P220391968,2022-02-08,1300 W NORTH AV BALTIMORE MD,WD,Druid Heights,21217
P220414263,2022-02-10,300 E NORTH AV BALTIMORE MD,ED,Greenmount West,21202
P222393193,2022-08-27,800 N MILTON AV BALTIMORE MD,ED,Milton-Montford,21205
P222393211,2022-08-27,600 S CHARLES ST BALTIMORE MD,SD,Otterbein,21230
P221632750,2022-06-12,3000 BLK REMINGTON AV BALTIMORE MD,ND,Remington,21211
P223560650,2022-12-22,5200 YORK RD BALTIMORE MD,ND,York-Homeland,21212
P221341399,2022-05-14,3300 WINDSOR AV BALTIMORE MD,SW,Walbrook,21216
P221373819,2022-05-17,2000 HOMEWOOD AV BALTIMORE MD,ED,East Baltimore Midway,21218
P222672576,2022-09-24,LEXINGTON MARKET EAST BALTIMORE MD,CD,Downtown,21201
P222412257,2022-08-29,6400 EASTERN AV BALTIMORE MD,SE,Bayview,21224
P222412482,2022-08-29,6700 GERMAN HILL RD BALTIMORE MD,SE,Graceland Park,21222
P222412628,2022-08-29,1500 BLK W BALTIMORE ST BALTIMORE MD,WD,Franklin Square,21223
P222421577,2022-08-30,5100 FRANKFORD AV BALTIMORE MD,NE,Frankford,21206
P221652011,2022-06-14,5200 LINDEN HEIGHTS AV BALTIMORE MD,NW,Woodmere,21215
P221652370,2022-06-14,3900 GLENGYLE AV BALTIMORE MD,NW,Fallstaff,21215
P221671742,2022-06-16,EUTAW PL and MCMECHEN ST BALTIMORE MD,CD,Bolton Hill,21217
P223612374,2022-12-27,2900 REISTERSTOWN RD BALTIMORE MD,NW,Liberty Square,21215
P223614021,2022-12-27,1300 BLK N CAREY ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221384366,2022-05-18,800 E PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P222690656,2022-09-26,0 S EUTAW ST BALTIMORE MD,CD,Downtown,21201
P220452673,2022-02-14,1300 W PRATT ST BALTIMORE MD,SD,Union Square,21223
P220471859,2022-02-16,2500 VIOLET AV BALTIMORE MD,NW,Park Circle,21215
P220480692,2022-02-17,1000 WEBB CT BALTIMORE MD,ED,Oldtown,21202
P220484264,2022-02-17,3000 FRISBY ST BALTIMORE MD,ND,Better Waverly,21218
P222433551,2022-08-31,E 0TH ST and BARCLAY ST BALTIMORE MD,ND,Harwood,21218
P222463991,2022-09-03,WILKENS AV and S MOUNT ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221691354,2022-06-18,N CAROLINE ST and E FAYETTE ST BALTIMORE MD,SE,Washington Hill,21231
P221692329,2022-06-18,6500 FRANKFORD AV BALTIMORE MD,NE,Pulaski Industrial Area,21206
P221701444,2022-06-19,WESTWOOD AV and N CALHOUN ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221711075,2022-06-20,E NORTH AV and N CHESTER ST BALTIMORE MD,ED,South Clifton Park,21213
P221432085,2022-05-23,4100 WELDON PL W BALTIMORE MD,ND,Medfield,21211
P222694880,2022-09-26,100 N POPPLETON ST BALTIMORE MD,WD,Poppleton,21201
P220503858,2022-02-19,3800 6TH ST BALTIMORE MD,SD,Brooklyn,21225
P220512459,2022-02-20,1500 ARGYLE AV BALTIMORE MD,CD,Upton,21217
P220520980,2022-02-21,100 N EAST AV BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P222482507,2022-09-05,E 0ND ST and HUNTER ST BALTIMORE MD,ND,Barclay,21218
P221722977,2022-06-21,WINCHESTER ST and N FREMONT AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P221730762,2022-06-22,HARFORD RD and BONAPARTE AV BALTIMORE MD,ED,East Baltimore Midway,21218
P221732861,2022-06-22,800 S DEAN ST BALTIMORE MD,SE,Brewers Hill,21224
P222723961,2022-09-29,POPLAR GROVE ST and W LANVALE ST BALTIMORE MD,WD,Mosher,21216
P222724324,2022-09-29,N WASHINGTON ST and E LANVALE ST BALTIMORE MD,ED,Broadway East,21213
P222741237,2022-10-01,600 MCKEWIN AV BALTIMORE MD,ND,Waverly,21218
P220552504,2022-02-24,600 AISQUITH ST BALTIMORE MD,ED,Oldtown,21202
P220562046,2022-02-25,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P222511934,2022-09-08,2100 N CHARLES ST BALTIMORE MD,ND,Charles North,21218
P222521177,2022-09-09,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P221762334,2022-06-25,2700 BLK GREENMOUNT AV BALTIMORE MD,ND,Better Waverly,21218
P221791129,2022-06-28,W SARATOGA ST and N PACA ST BALTIMORE MD,CD,Downtown,21201
P221792137,2022-06-28,1200 EDMONDSON AV BALTIMORE MD,WD,Harlem Park,21217
P221802336,2022-06-29,5200 EASTERN AV BALTIMORE MD,SE,Hopkins Bayview,21224
P221802828,2022-06-29,4700 BLK BEAUFORT AV BALTIMORE MD,NW,Central Park Heights,21215
P221531105,2022-06-02,3700 KOPPERS ST BALTIMORE MD,SW,Violetville,21227
P221531205,2022-06-02,200 S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221531221,2022-06-02,200 S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221532825,2022-06-02,W BELVEDERE AV and CORDELIA AV BALTIMORE MD,NW,Langston Hughes,21215
P221533708,2022-06-02,900 W 36TH ST BALTIMORE MD,ND,Hampden,21211
P221543087,2022-06-03,1500 BLK E LEXINGTON ST BALTIMORE MD,SE,Dunbar-Broadway,21231
P221551375,2022-06-04,100 E PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P222771458,2022-10-04,2200 MT ROYAL TE BALTIMORE MD,CD,Reservoir Hill,21217
P222771567,2022-10-04,6700 HARFORD RD BALTIMORE MD,NE,North Harford Road,21234
P220571603,2022-02-26,ST CHARLES AV and W BELVEDERE AV BALTIMORE MD,NW,Langston Hughes,21215
P220591010,2022-02-28,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P220592960,2022-02-28,400 MANSE CT BALTIMORE MD,CD,Upton,21201
P220603053,2022-03-01,1000 W LAFAYETTE AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P220603289,2022-03-01,RETREAT ST and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222542790,2022-09-11,1400 WOODALL ST BALTIMORE MD,SD,Riverside,21230
P222542924,2022-09-11,0RD ST and PONTIAC AV BALTIMORE MD,SD,Brooklyn,21225
P222550578,2022-09-12,1400 BLK S CATON AV BALTIMORE MD,SW,Morrell Park,21227
P221822683,2022-07-01,300 W PRATT ST BALTIMORE MD,CD,Downtown West,21201
P221823347,2022-07-01,200 N DECKER AV BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P221562101,2022-06-05,3200 ELMLEY AV BALTIMORE MD,NE,Belair-Edison,21213
P221572633,2022-06-06,5100 NELSON AV BALTIMORE MD,NW,Langston Hughes,21215
P222792585,2022-10-06,E JEFFREY ST and 0TH ST BALTIMORE MD,SD,Brooklyn,21225
P222802651,2022-10-07,5500 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P222804557,2022-10-07,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P222804610,2022-10-07,MARYLAND AV and W NORTH AV BALTIMORE MD,CD,Charles North,21201
P220623245,2022-03-03,PARK HEIGHTS AV and W COLD SPRING LN BALTIMORE MD,NW,Central Park Heights,21215
P220633314,2022-03-04,FERNHILL AV and GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P220642672,2022-03-05,2300 E NORTH AV BALTIMORE MD,ED,South Clifton Park,21213
P220643261,2022-03-05,1500 EDMONDSON AV BALTIMORE MD,WD,Harlem Park,21223
P222572257,2022-09-14,5200 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P222572722,2022-09-14,1800 N SMALLWOOD ST BALTIMORE MD,WD,Easterwood,21216
P221850222,2022-07-04,3600 ERDMAN AV BALTIMORE MD,NE,Belair-Edison,21213
P221854646,2022-07-04,4200 FAIRHAVEN AV BALTIMORE MD,SD,Curtis Bay,21226
P221861737,2022-07-05,5300 REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221863170,2022-07-05,METRO STATION - ROGERS AV BALTIMORE MD,NW,Woodmere,21215
P221604539,2022-06-09,1100 N STRICKER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220651414,2022-03-06,N BOND ST and E LANVALE ST BALTIMORE MD,ED,Oliver,21213
P220653363,2022-03-06,GOUGH ST and S BROADWAY BALTIMORE MD,SE,Fells Point,21231
P220661442,2022-03-07,500 BALTIC AV BALTIMORE MD,SD,Brooklyn,21225
P220662758,2022-03-07,S CARROLLTON AV and W PRATT ST BALTIMORE MD,SD,Washington Village/Pigtown,21223
P220664069,2022-03-07,E FAYETTE ST and N CHARLES ST BALTIMORE MD,CD,Downtown,21201
P222584942,2022-09-15,4300 ORCHARD RIDGE BL BALTIMORE MD,NE,Orchard Ridge,21213
P222590860,2022-09-16,THE AVENUE MARKET BALTIMORE MD,CD,Upton,21217
P222613743,2022-09-18,HAYWARD AV and REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P221880312,2022-07-07,2900 W COLD SPRING LN BALTIMORE MD,NW,Towanda-Grantley,21215
P221880882,2022-07-07,1600 N CALHOUN ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221654436,2022-06-14,RAMSAY ST and S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221660063,2022-06-15,2300 BLK WILKENS AV BALTIMORE MD,SW,Carrollton Ridge,21223
P222854600,2022-10-12,2600 E PRESTON ST BALTIMORE MD,ED,Berea,21213
P222862204,2022-10-13,N ROSEDALE ST and BLOOMINGDALE RD BALTIMORE MD,SW,Rosemont,21216
P222865232,2022-10-13,3800 BEEHLER AV BALTIMORE MD,NW,Lucille Park,21215
P222875058,2022-10-14,2700 ST PAUL ST BALTIMORE MD,ND,Charles Village,21218
P220711031,2022-03-12,1900 BURNWOOD RD BALTIMORE MD,NE,Perring Loch,21239
P222623421,2022-09-19,E NORTH AV and GREENMOUNT AV BALTIMORE MD,ED,Greenmount West,21202
P222632264,2022-09-20,1100 BLK W PRATT ST BALTIMORE MD,SD,Hollins Market,21223
P222633561,2022-09-20,2400 JEFFERSON ST BALTIMORE MD,SE,McElderry Park,21205
P222652134,2022-09-22,GREENMOUNT AV and WHITRIDGE AV BALTIMORE MD,ND,Better Waverly,21218
P221702914,2022-06-19,3600 SPRINGDALE AV BALTIMORE MD,NW,Forest Park,21216
P221723152,2022-06-21,5100 GOODNOW RD BALTIMORE MD,NE,Frankford,21206
P220721860,2022-03-13,1200 S HANOVER ST BALTIMORE MD,SD,Sharp-Leadenhall,21230
P220743021,2022-03-15,200 S SMALLWOOD ST BALTIMORE MD,SW,Carrollton Ridge,21223
P222652344,2022-09-22,3800 CHATHAM RD BALTIMORE MD,NW,Callaway-Garrison,21215
P222662255,2022-09-23,1300 ORLEANS ST BALTIMORE MD,ED,Dunbar-Broadway,21202
P222681462,2022-09-25,JAMES ST and PARKMAN AV BALTIMORE MD,SW,Morrell Park,21230
P220772819,2022-03-18,2000 WILKENS AV BALTIMORE MD,SD,Carrollton Ridge,21223
P220780157,2022-03-19,4700 HAMPNETT AV BALTIMORE MD,NE,Lauraville,21214
P222702253,2022-09-27,N BROADWAY and E PRESTON ST BALTIMORE MD,ED,Oliver,21213
P222713564,2022-09-28,1800 BLK HOLLINS ST BALTIMORE MD,SD,Franklin Square,21223
P221792608,2022-06-28,1800 N WOLFE ST BALTIMORE MD,ED,Broadway East,21213
P220792231,2022-03-20,E PRATT ST and S GAY ST BALTIMORE MD,CD,Inner Harbor,21202
P220811977,2022-03-22,2300 ARGONNE DR BALTIMORE MD,NE,Montebello,21218
P220813612,2022-03-22,600 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P222722029,2022-09-29,EXECUTIVE INN #RM 300 BALTIMORE MD,ED,Orangeville,21224
P222723248,2022-09-29,2700 HARLEM AV BALTIMORE MD,WD,Mosher,21216
P222723803,2022-09-29,3400 ELMLEY AV BALTIMORE MD,NE,Belair-Edison,21213
P222724355,2022-09-29,E FAYETTE ST and ST PAUL ST BALTIMORE MD,CD,Downtown,21202
P221811192,2022-06-30,4000 SPRUCE DR BALTIMORE MD,ND,Greenspring,21215
P221822062,2022-07-01,2900 W MULBERRY ST BALTIMORE MD,SW,Penrose/Fayette Street Outreach,21223
P221823115,2022-07-01,500 S BENTALOU ST BALTIMORE MD,SW,Carrollton Ridge,21223
P221831209,2022-07-02,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,CD,Upton,21217
P220822960,2022-03-23,2100 HAINES ST BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P220823664,2022-03-23,SHAKE AND BAKE FAMILY FUN CENTER BALTIMORE MD,CD,Upton,21217
P220851888,2022-03-26,1200 W FAYETTE ST BALTIMORE MD,WD,Poppleton,21223
P222762117,2022-10-03,5200 YORK RD BALTIMORE MD,ND,Woodbourne-McCabe,21212
P221833257,2022-07-02,N EUTAW ST and W PRESTON ST BALTIMORE MD,CD,Madison Park,21201
P221860818,2022-07-05,1700 DUNDALK AV BALTIMORE MD,SE,Graceland Park,21222
P220894610,2022-03-30,3000 CLIFTON AV BALTIMORE MD,SW,Walbrook,21216
P221862618,2022-07-05,5200 YORK RD BALTIMORE MD,ND,Woodbourne-McCabe,21212
P221863691,2022-07-05,W PRATT ST and S ARLINGTON AV BALTIMORE MD,SD,Hollins Market,21223
P221874064,2022-07-06,HOLIDAY INN EXPRESS BALTIMORE AT THE STADIUMS BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P222800441,2022-10-07,1200 CLEVELAND ST BALTIMORE MD,SD,Washington Village/Pigtown,21230
P220911745,2022-04-01,1600 E BALTIMORE ST BALTIMORE MD,SE,Washington Hill,21231
P221913971,2022-07-10,2500 GARRETT AV BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P220042194,2022-01-04,600 WINSTON AV BALTIMORE MD,ND,Winston-Govans,21212
P221912218,2022-07-10,3600 COTTAGE AV BALTIMORE MD,NW,Park Circle,21215
P222820616,2022-10-09,N CAROLINE ST and E FAYETTE ST BALTIMORE MD,SE,Washington Hill,21231
P222881342,2022-10-15,3900 ELDERON AV BALTIMORE MD,NW,West Arlington,21215
P222892647,2022-10-16,METRO STATION - JOHNS HOPKINS BALTIMORE MD,ED,Gay Street,21205
P222903118,2022-10-17,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P222510585,2022-09-08,4400 SHAMROCK AV BALTIMORE MD,NE,Parkside,21206
P220931330,2022-04-03,3400 ELGIN AV BALTIMORE MD,SW,Mount Holly,21216
P220072202,2022-01-07,E NORTH AV and RUTLAND AV BALTIMORE MD,ED,Broadway East,21213
P221923479,2022-07-11,E NORTH AV and HOPE ST BALTIMORE MD,ED,Oliver,21202
P221940917,2022-07-13,2500 GREENMOUNT AV BALTIMORE MD,ND,Harwood,21218
P221944088,2022-07-13,STATE ST and W SARATOGA ST BALTIMORE MD,CD,Downtown,21201
P221260107,2022-05-06,BELFORD RD and E NORTHERN PY BALTIMORE MD,NE,North Harford Road,21206
P221273137,2022-05-07,1700 RUSSELL ST BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P222533277,2022-09-10,1500 N DURHAM ST BALTIMORE MD,ED,Broadway East,21213
P223084632,2022-11-04,1000 NEW HOPE CI BALTIMORE MD,SE,Pleasant View Gardens,21202
P223085240,2022-11-04,1200 LINWORTH AV BALTIMORE MD,NE,New Northwood,21239
P223102691,2022-11-06,1500 BYRD ST BALTIMORE MD,SD,Riverside,21230
P223112653,2022-11-07,1200 DRUID HILL AV BALTIMORE MD,CD,Upton,21217
P223112740,2022-11-07,2900 EDMONDSON AV BALTIMORE MD,SW,Franklintown Road,21223
P220091403,2022-01-09,500 SANFORD PL BALTIMORE MD,CD,Druid Heights,21217
P220092929,2022-01-09,200 W MONUMENT ST BALTIMORE MD,CD,Mount Vernon,21201
P220101881,2022-01-10,4700 GREENSPRING AV BALTIMORE MD,ND,Cylburn,21209
P220112738,2022-01-11,1700 BAKBURY CT BALTIMORE MD,WD,Sandtown-Winchester,21217
P221953089,2022-07-14,4500 FAIRVIEW AV BALTIMORE MD,NW,West Forest Park,21216
P221962424,2022-07-15,I 100 N EXIT 9A BALTIMORE MD,ND,Medfield,21209
P221971292,2022-07-16,N CHARLES ST and W LAFAYETTE AV BALTIMORE MD,CD,Charles North,21201
P221980778,2022-07-17,4400 BERGER AV BALTIMORE MD,NE,Frankford,21206
P221980788,2022-07-17,1900 WALBROOK AV BALTIMORE MD,WD,Mondawmin,21217
P222901824,2022-10-17,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,CD,Upton,21217
P221321988,2022-05-12,1600 N BENTALOU ST BALTIMORE MD,WD,Coppin Heights/Ash-Co-East,21216
P222552976,2022-09-12,1700 DUNDALK AV BALTIMORE MD,SE,Graceland Park,21222
P222572021,2022-09-14,N HOWARD ST and W SARATOGA ST BALTIMORE MD,CD,Downtown,21201
P222572303,2022-09-14,PARK HEIGHTS AV and SPAULDING AV BALTIMORE MD,NW,Central Park Heights,21215
P222572703,2022-09-14,W MULBERRY ST and N GREENE ST BALTIMORE MD,CD,University Of Maryland,21201
P222575027,2022-09-14,4300 HAYWARD AV BALTIMORE MD,NW,Woodmere,21215
P223135233,2022-11-09,1000 WEBB CT BALTIMORE MD,ED,Oldtown,21202
P223143453,2022-11-10,300 S STRICKER ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P223144951,2022-11-10,SB I 100 S AT 50 BALTIMORE MD,SW,Violetville,21227
P223145027,2022-11-10,100 N CENTRAL AV BALTIMORE MD,SE,Pleasant View Gardens,21202
P223154706,2022-11-11,N STREEPER ST and E FAYETTE ST BALTIMORE MD,SE,McElderry Park,21224
P220132664,2022-01-13,N CHARLES ST and E CENTRE ST BALTIMORE MD,CD,Mount Vernon,21201
P220152822,2022-01-15,E SARATOGA ST and GUILFORD AV BALTIMORE MD,CD,Downtown,21202
P222000274,2022-07-19,1300 CLIFTVIEW AV BALTIMORE MD,ED,East Baltimore Midway,21218
P222014361,2022-07-20,600 CLAYMONT AV BALTIMORE MD,WD,Mosher,21216
P222920982,2022-10-19,1600 RAMSAY ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222932961,2022-10-20,400 E MADISON ST BALTIMORE MD,ED,Penn-Fallsway,21202
P221343528,2022-05-14,RAMSAY ST and S GILMOR ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221360135,2022-05-16,2500 VIOLET AV BALTIMORE MD,NW,Park Circle,21215
P221373014,2022-05-17,N CHESTER ST and MCELDERRY ST BALTIMORE MD,ED,CARE,21205
P222583646,2022-09-15,ST PAUL ST and E UNIVERSITY PY BALTIMORE MD,ND,Oakenshawe,21218
P222623134,2022-09-19,E MONUMENT ST and N MILTON AV BALTIMORE MD,ED,Milton-Montford,21205
P222623809,2022-09-19,1600 BLK E LOMBARD ST BALTIMORE MD,SE,Washington Hill,21231
P223172344,2022-11-13,800 N ARLINGTON AV BALTIMORE MD,WD,Harlem Park,21217
P223173609,2022-11-13,2700 GWYNNS FALLS PY BALTIMORE MD,NW,Panway/Braddish Avenue,21216
P223184092,2022-11-14,1600 LOCUST ST BALTIMORE MD,SD,Curtis Bay,21226
P220183355,2022-01-18,1100 N LONGWOOD ST BALTIMORE MD,SW,Franklintown Road,21216
P220203256,2022-01-20,BELAIR RD and HAMILTON AV BALTIMORE MD,NE,Glenham-Belhar,21206
P222952108,2022-10-22,3300 E FAYETTE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P222954731,2022-10-22,1800 N CAROLINE ST BALTIMORE MD,ED,Oliver,21213
P222962604,2022-10-23,500 S BOND ST BALTIMORE MD,SE,Fells Point,21231
P222973036,2022-10-24,1500 BLK PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P221403014,2022-05-20,1300 BLK N CAROLINE ST BALTIMORE MD,ED,Oliver,21213
P222631115,2022-09-20,E LOMBARD ST and S CAROLINE ST BALTIMORE MD,SE,Washington Hill,21231
P222645111,2022-09-21,HOMEWOOD AV and BONAPARTE AV BALTIMORE MD,ED,East Baltimore Midway,21218
P222654251,2022-09-22,5000 PEMBRIDGE AV BALTIMORE MD,NW,Central Park Heights,21215
P223204368,2022-11-16,1200 BLK S CATON AV BALTIMORE MD,SW,Wilhelm Park,21227
P223212833,2022-11-17,1000 FORREST ST BALTIMORE MD,ED,Penn-Fallsway,21202
P223213352,2022-11-17,500 PONTIAC AV BALTIMORE MD,SD,Brooklyn,21225
P223255180,2022-11-21,HOMEWOOD AV and KIRK AV BALTIMORE MD,ED,East Baltimore Midway,21218
P220223734,2022-01-22,2900 CARVER RD BALTIMORE MD,SD,Cherry Hill,21225
P220232708,2022-01-23,2500 W LOMBARD ST BALTIMORE MD,SW,Shipley Hill,21223
P220242248,2022-01-24,2800 MOSHER ST BALTIMORE MD,WD,Mosher,21216
P222984208,2022-10-25,0 BRISTOL AV BALTIMORE MD,SD,Brooklyn,21225
P223001097,2022-10-27,4200 ST GEORGES AV BALTIMORE MD,ND,Pen Lucy,21212
P223022161,2022-10-29,3100 CLIFTON AV BALTIMORE MD,SW,Walbrook,21216
P221443190,2022-05-24,N FREMONT AV and RIGGS AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P222664707,2022-09-23,600 E MADISON ST BALTIMORE MD,ED,Penn-Fallsway,21202
P222674243,2022-09-24,DOVER ST and S PACA ST BALTIMORE MD,SD,Downtown West,21230
P222674322,2022-09-24,1900 E 32ND ST BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P222041370,2022-07-23,1400 W PRATT ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222051481,2022-07-24,TOWANDA AV and BOARMAN AV BALTIMORE MD,NW,Towanda-Grantley,21215
P222052165,2022-07-24,4700 DUNKIRK AV BALTIMORE MD,SW,Tremont,21229
P223302746,2022-11-26,2000 WILHELM ST BALTIMORE MD,SD,Carrollton Ridge,21223
P223304216,2022-11-26,BARCLAY ST and E 0TH ST BALTIMORE MD,ND,Barclay,21218
P220272031,2022-01-27,4500 EDMONDSON AV BALTIMORE MD,SW,Rognel Heights,21229
P220274093,2022-01-27,100 W HENRIETTA ST BALTIMORE MD,SD,Sharp-Leadenhall,21230
P220280207,2022-01-28,1900 EDMONDSON AV BALTIMORE MD,WD,Midtown-Edmondson,21223
P220281688,2022-01-28,3700 W BELVEDERE AV BALTIMORE MD,NW,Arlington,21215
P223032741,2022-10-30,600 E FAYETTE ST BALTIMORE MD,CD,Downtown,21202
P223032832,2022-10-30,2500 JAMES ST BALTIMORE MD,SW,Morrell Park,21230
P223032998,2022-10-30,600 E FAYETTE ST BALTIMORE MD,CD,Downtown,21202
P223043672,2022-10-31,200 W HAMBURG ST BALTIMORE MD,SD,Stadium Area,21230
P223053201,2022-11-01,E 0TH ST and GUILFORD AV BALTIMORE MD,ED,Barclay,21218
P221471245,2022-05-27,3600 ROLAND AV BALTIMORE MD,ND,Hampden,21211
P221483778,2022-05-28,S CONKLING ST and E PRATT ST BALTIMORE MD,SE,Baltimore Highlands,21224
P221492309,2022-05-29,E NORTH AV and HOPE ST BALTIMORE MD,ED,Oliver,21202
P222083372,2022-07-27,600 BLK CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P222083739,2022-07-27,4600 GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P223344056,2022-11-30,200 N HIGHLAND AV BALTIMORE MD,SE,Ellwood Park/Monument,21224
P223354234,2022-12-01,E NORTHERN PY and YORK RD BALTIMORE MD,ND,Chinquapin Park,21212
P222742763,2022-10-01,N EUTAW ST and W SARATOGA ST BALTIMORE MD,CD,Downtown,21201
P220313467,2022-01-31,2500 W PATAPSCO AV BALTIMORE MD,SD,Lakeland,21230
P223071747,2022-11-03,2700 MOSHER ST BALTIMORE MD,WD,Mosher,21216
